user_id,betting_count,betting_sum,credit_count,credit_sum,utility_count,utility_sum,transport_count,transport_sum,government_count,government_sum,income_count,income_sum,shops_count,shops_sum,cafes_count,cafes_sum,hotels_count,hotels_sum,entertainment_count,entertainment_sum,health_count,health_sum,parking_count,parking_sum,commission_count,commission_sum,atm_count,atm_sum,online_services_count,online_services_sum,person_transfer_count,person_transfer_sum,small_business_count,small_business_sum,credit_taken_count,credit_payment_count,total_income,total_expense,transaction_count,max_income,max_expense,avg_transaction,expense_to_income_ratio,betting_expense_ratio,credit_expense_ratio,entertainment_expense_ratio,hotels_expense_ratio,cafes_expense_ratio,utility_expense_ratio,shops_expense_ratio,betting_count_ratio,credit_count_ratio,utility_count_ratio,transport_count_ratio,risk_score,label
39,188,2027941.22,115,4731083.89,146,1343694.1,113,995247.95,87,1808470.18,212,14038196.93,252,3275595.03,91,2856978.93,15,288556.74,10,15342.59,1,4021.62,0,0.0,8,3377.15,8,1148331.36,6,192194.9,1027,22848303.22,154,2781830.84,29,86,24181158.7,34859793.17,2493,1531171.09,1294068.55,23682.69,1.4416,0.0582,0.1357,0.0004,0.0083,0.082,0.0385,0.094,0.0754,0.0461,0.0586,0.0453,20,1
40,120,1772152.78,98,3490103.13,111,1618793.96,114,887148.21,85,3202434.17,229,18746757.25,254,3006455.03,76,1191768.84,8,19747.18,10,37128.69,2,21890.24,0,0.0,8,2803.88,7,300464.24,8,208545.53,901,15723365.89,140,2435854.41,20,78,30669533.03,23777422.75,2217,1875957.04,1076663.14,24558.84,0.7753,0.0745,0.1468,0.0016,0.0008,0.0501,0.0681,0.1264,0.0541,0.0442,0.0501,0.0514,-10,0
41,125,2511122.44,135,7892728.3,104,1537742.61,130,1643428.24,94,1100556.82,234,12531722.87,300,4145028.34,77,1486060.32,11,427780.9,6,24766.36,2,15945.11,0,0.0,7,1106.77,4,90108.23,3,102415.23,1040,23077318.01,172,2421584.23,50,85,28280937.94,32234345.78,2505,815052.17,1028845.25,24157.8,1.1398,0.0779,0.2449,0.0008,0.0133,0.0461,0.0477,0.1286,0.0499,0.0539,0.0415,0.0519,30,1
42,127,2213565.46,132,3518313.34,136,2113861.82,128,1641745.14,98,2882330.99,241,18980008.12,259,3312343.29,85,672473.88,18,419460.08,11,34274.41,4,26237.96,0,0.0,6,6065.98,7,890514.66,9,302196.19,1114,16440919.24,157,2611489.6,31,101,27372872.89,29740907.8,2599,1377583.1,1302570.32,21975.29,1.0865,0.0744,0.1183,0.0012,0.0141,0.0226,0.0711,0.1114,0.0489,0.0508,0.0523,0.0492,5,0
43,114,2277112.94,113,4409290.17,120,3501141.1,104,452296.36,80,960370.65,203,17261875.77,268,3576957.07,90,1576496.79,12,721569.13,0,0.0,1,5107.19,0,0.0,4,1114.23,5,223515.53,6,89002.95,953,19931074.16,151,3239006.58,26,87,31916531.45,26643626.26,2274,1694532.78,1153315.24,25752.05,0.8348,0.0855,0.1655,0.0,0.0271,0.0592,0.1314,0.1343,0.0501,0.0497,0.0528,0.0457,5,0
44,144,2866036.45,117,4690341.65,146,2743345.88,132,4849796.45,101,4681484.03,252,19241559.9,314,4339896.39,93,2065200.98,8,47950.32,17,93723.38,1,4037.11,0,0.0,9,6311.33,7,633174.23,4,51336.94,1142,18462058.8,207,2487153.21,35,82,33828597.83,36230445.51,2759,1391472.99,1534537.31,25392.91,1.071,0.0791,0.1295,0.0026,0.0013,0.057,0.0757,0.1198,0.0522,0.0424,0.0529,0.0478,10,0
45,151,3394789.41,143,4411434.82,161,1960816.11,127,1259097.28,121,1799188.25,282,17216141.99,338,6300633.22,100,1271471.55,13,109549.38,5,28245.54,2,13228.33,0,0.0,4,592.66,10,477701.19,9,41048.66,1183,18479398.54,191,2637196.92,47,96,30760084.52,31832064.82,2926,1165423.14,1424279.44,21391.71,1.0348,0.1066,0.1386,0.0009,0.0034,0.0399,0.0616,0.1979,0.0516,0.0489,0.055,0.0434,15,0
46,195,4366114.92,118,4400676.03,123,1373988.73,137,1989226.71,95,1255343.0,270,15375505.33,250,3779116.79,92,2032228.69,9,41182.3,9,65692.76,3,49262.75,0,0.0,4,4129.62,4,186930.44,2,1669.35,1028,20676215.66,142,1588308.82,30,88,29388117.06,28204775.26,2542,1070600.5,962941.38,22656.53,0.9597,0.1548,0.156,0.0023,0.0015,0.0721,0.0487,0.134,0.0767,0.0464,0.0484,0.0539,25,1
47,92,2416820.5,96,3296178.99,91,702614.87,103,964486.81,88,1238181.52,185,11563234.61,220,4536740.92,61,576325.8,9,158854.23,5,83925.5,2,27205.22,0,0.0,2,477.54,9,403406.64,6,23504.97,790,17505943.8,105,3472722.42,34,62,24880890.57,22264512.81,1905,1654811.52,1363217.17,24748.24,0.8948,0.1086,0.148,0.0038,0.0071,0.0259,0.0316,0.2038,0.0483,0.0504,0.0478,0.0541,15,0
48,101,1571374.8,111,6431541.85,98,2042471.83,126,800960.42,102,2443850.79,234,17282074.93,284,3614170.08,70,1169028.15,18,1700595.5,7,110688.77,2,7671.26,0,0.0,9,3873.27,8,598145.4,5,136626.99,1000,18742093.0,166,4923201.16,29,82,29706422.91,33122275.34,2390,1276205.98,1332422.35,26288.16,1.115,0.0474,0.1942,0.0033,0.0513,0.0353,0.0617,0.1091,0.0423,0.0464,0.041,0.0527,20,1
49,147,2186554.92,127,3442373.29,171,2809363.75,137,1147416.52,115,3281308.22,256,16839744.02,310,6853197.66,95,1026073.92,10,171443.78,11,36187.11,2,12798.99,0,0.0,4,1547.64,15,1112089.91,4,18588.48,1244,27534966.23,199,4568350.22,38,89,39709912.85,32529628.82,2917,1834936.76,1208392.72,24765.01,0.8192,0.0672,0.1058,0.0011,0.0053,0.0315,0.0864,0.2107,0.0504,0.0435,0.0586,0.047,0,0
50,136,1761605.15,171,6928020.29,138,2650318.38,163,2198721.54,111,3224187.68,254,16325873.42,320,5315144.58,99,1931658.91,10,1002728.34,8,103312.93,1,15430.79,0,0.0,7,2989.51,13,1334245.39,10,114311.49,1114,22116518.32,179,4202869.25,54,117,36810237.9,32905951.19,2811,990294.49,1883262.76,24801.21,0.8939,0.0535,0.2105,0.0031,0.0305,0.0587,0.0805,0.1615,0.0484,0.0608,0.0491,0.058,15,0
51,113,1637942.86,137,3380329.28,98,2070985.28,109,1276582.08,80,2458256.88,195,14952598.39,251,4672210.82,66,977445.59,8,42797.66,4,6900.18,2,7074.78,0,0.0,3,467.91,10,951782.76,6,62657.31,860,12584294.11,139,3600335.95,43,94,24364876.15,24592822.01,2129,1535869.51,1335054.84,22995.63,1.0094,0.0666,0.1375,0.0003,0.0017,0.0397,0.0842,0.19,0.0531,0.0643,0.046,0.0512,15,0
52,126,2219050.53,115,2340726.6,164,1692386.86,124,1086049.55,107,1663708.96,235,15898071.67,315,5249739.88,92,3372555.44,15,761931.94,11,31163.4,4,27140.2,0,0.0,6,4609.42,14,873237.74,7,203805.31,1212,19383403.18,199,3217062.15,18,97,31847996.84,26544188.7,2800,1319026.98,1207955.39,20854.35,0.8335,0.0836,0.0882,0.0012,0.0287,0.1271,0.0638,0.1978,0.045,0.0411,0.0586,0.0443,0,0
53,97,2797052.61,115,3964744.71,124,1753922.37,113,1318499.57,101,2075785.7,206,14453548.87,290,4880489.07,86,1409060.14,12,102573.62,7,47121.61,4,20314.25,0,0.0,11,4622.92,6,644711.42,7,44914.71,938,19406976.58,142,2112387.83,24,91,27484832.3,27980624.32,2315,1712883.86,1206030.49,23959.16,1.018,0.1,0.1417,0.0017,0.0037,0.0504,0.0627,0.1744,0.0419,0.0497,0.0536,0.0488,5,0
54,234,2262563.61,125,3336774.33,131,2672969.99,136,1756311.68,97,2998365.78,242,16105301.35,255,2415392.66,113,1285873.45,14,120162.18,8,16600.39,0,0.0,0,0.0,15,8193.45,12,1253301.15,8,193361.42,1119,20551990.68,187,3621684.4,39,86,28965922.72,29941234.37,2759,1205560.63,889449.51,21350.91,1.0337,0.0756,0.1114,0.0006,0.004,0.0429,0.0893,0.0807,0.0848,0.0453,0.0475,0.0493,20,1
55,104,1401479.97,109,4874026.67,104,926550.15,112,956656.91,80,1799703.78,183,9356191.35,208,2541055.61,76,1961219.06,12,322708.71,7,58513.36,3,21972.06,0,0.0,6,1198.16,4,420334.63,6,74135.44,812,16282976.44,138,1301327.24,28,81,21910227.29,20783243.38,2022,1030970.24,979676.79,21114.48,0.9486,0.0674,0.2345,0.0028,0.0155,0.0944,0.0446,0.1223,0.0514,0.0539,0.0514,0.0554,10,0
56,149,1561785.57,174,10453380.09,128,2767797.26,162,940465.95,121,2103929.61,237,16839712.59,296,2414591.29,82,2399450.26,15,93002.98,6,72120.74,2,17521.27,0,0.0,4,3957.07,9,749177.88,7,253088.67,1181,17851357.65,183,3548321.89,30,144,30180834.2,32543857.89,2823,1082817.18,1215342.9,22219.16,1.0783,0.048,0.3212,0.0022,0.0029,0.0737,0.085,0.0742,0.0528,0.0616,0.0453,0.0574,15,0
57,80,1606512.08,89,2266625.09,90,1005111.28,108,750980.78,62,727149.36,188,10109829.3,199,3457308.96,70,608061.99,9,316613.64,4,1045.79,1,15654.57,0,0.0,3,965.56,9,342021.42,5,12304.76,785,17713052.73,127,2384928.02,25,64,20721145.92,20924677.74,1874,1636196.5,1134671.78,22222.96,1.0098,0.0768,0.1083,0.0,0.0151,0.0291,0.048,0.1652,0.0427,0.0475,0.048,0.0576,15,0
58,204,2253936.28,124,3231207.42,125,2972990.55,115,1608666.54,102,892097.42,230,17117839.63,267,4385098.86,83,755866.02,13,98532.2,10,10467.75,2,6485.46,0,0.0,9,2047.69,7,590473.32,2,94880.67,934,17669826.58,193,1879775.67,33,91,28563324.8,26116262.98,2483,1754903.22,1173022.5,22021.58,0.9143,0.0863,0.1237,0.0004,0.0038,0.0289,0.1138,0.1679,0.0822,0.0499,0.0503,0.0463,5,0
